"ssvid","ais_imo","poor_id","vessel_id","ais_shipname","ais_callsign","vessel_flag_best","vessel_class_best","geartype_best","trip_id","trip_start","start_port_iso3","start_port_label","trip_start_confidence","trip_duration_days","num_encounters","num_loitering","num_fishing","vessel_id_1","npg_2026_phase_1","npg_2026_phase_2","vv_url"
"412549371",NA,FALSE,"fd3caead4-4745-dbc4-1130-0370911b8544","FUYUANYU  8642","BZ8VX","CHN","fishing","fishing","412549371-fd3caead4-4745-dbc4-1130-0370911b8544-019d8fdb2cd8",2026-04-15 06:36:39,"CHN","NINGBO",4,15.71,0,8,10,"fd3caead4-4745-dbc4-1130-0370911b8544",TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/fd3caead4-4745-dbc4-1130-0370911b8544?&start=2026-03-01&end=2026-04-30"")"
"412549372",NA,FALSE,"170f4723b-b308-ae14-d821-759e7fc132d9","FUYUANYU 8643","BZ1VT","CHN","fishing","fishing","412549372-170f4723b-b308-ae14-d821-759e7fc132d9-019d8fea8e58",2026-04-15 06:53:27,"CHN","NINGBO",4,15.71,0,6,8,"170f4723b-b308-ae14-d821-759e7fc132d9",TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/170f4723b-b308-ae14-d821-759e7fc132d9?&start=2026-03-01&end=2026-04-30"")"
"412549373",NA,FALSE,"6316db9af-f110-8d4d-b61b-4e43a6971bdd","FUYUANYU 8644","BZ3VX","CHN","fishing","fishing","412549373-6316db9af-f110-8d4d-b61b-4e43a6971bdd-019daf792f40",2026-04-21 09:57:28,"CHN","NINGBO",4,9.58,0,1,0,"6316db9af-f110-8d4d-b61b-4e43a6971bdd",TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/6316db9af-f110-8d4d-b61b-4e43a6971bdd?&start=2026-03-01&end=2026-04-30"")"
"412549374",NA,FALSE,"6b6ffb4c6-6807-c452-0b7e-db9f171e3b61","FUYUANYU8645","BZW7V","CHN","fishing","fishing","412549374-6b6ffb4c6-6807-c452-0b7e-db9f171e3b61-019d8ffba940",2026-04-15 07:12:08,"CHN","NINGBO",4,15.67,0,8,10,"6b6ffb4c6-6807-c452-0b7e-db9f171e3b61",TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/6b6ffb4c6-6807-c452-0b7e-db9f171e3b61?&start=2026-03-01&end=2026-04-30"")"
"412549375","9934589",FALSE,"f46f7a258-828a-8f8f-878e-845e99208dd3","FYUANYU 8646","BZ2VZ","CHN","fishing","fishing","412549375-f46f7a258-828a-8f8f-878e-845e99208dd3-019d8feeeb88",2026-04-15 06:58:13,"CHN","NINGBO",4,15.71,0,6,10,"f46f7a258-828a-8f8f-878e-845e99208dd3",TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/f46f7a258-828a-8f8f-878e-845e99208dd3?&start=2026-03-01&end=2026-04-30"")"
"412549487","8573106",FALSE,"ab44b2173-3e08-51c7-30a6-5c80b493e68b","FU YUAN YU 8281","BZW1Z","CHN","fishing","fishing","412549487-ab44b2173-3e08-51c7-30a6-5c80b493e68b-019d76513a00",2026-04-10 07:35:28,"CHN","SHIDAO",4,20.67,0,13,15,"ab44b2173-3e08-51c7-30a6-5c80b493e68b",TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/ab44b2173-3e08-51c7-30a6-5c80b493e68b?&start=2026-03-01&end=2026-04-30"")"
"412549488","8573118",FALSE,"1ab4dabcf-fd7e-f79d-10d0-8aa19023ca7a","FU YUAN YU 8282","BZW2Z","CHN","fishing","fishing","412549488-1ab4dabcf-fd7e-f79d-10d0-8aa19023ca7a-019d764c7740",2026-04-10 07:30:16,"CHN","SHIDAO",4,20.67,0,9,14,"1ab4dabcf-fd7e-f79d-10d0-8aa19023ca7a",TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/1ab4dabcf-fd7e-f79d-10d0-8aa19023ca7a?&start=2026-03-01&end=2026-04-30"")"
"412549489","8573120",FALSE,"fafef5664-44b7-e789-5a28-82b1434f965a","FUYUANYU8283","BZW3Z","CHN","fishing","fishing","412549489-fafef5664-44b7-e789-5a28-82b1434f965a-019d7655ba58",2026-04-10 07:40:23,"CHN","SHIDAO",4,20.67,0,12,17,"fafef5664-44b7-e789-5a28-82b1434f965a",TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/fafef5664-44b7-e789-5a28-82b1434f965a?&start=2026-03-01&end=2026-04-30"")"
"412549491","8573132",FALSE,"a55283248-86c3-36a8-0318-47c65a29aef0","FU YUAN YU 8285","BZW5Z","CHN","fishing","fishing","412549491-a55283248-86c3-36a8-0318-47c65a29aef0-019d809f3250",2026-04-12 07:36:50,"KOR","BUSAN",4,18.67,0,10,14,"a55283248-86c3-36a8-0318-47c65a29aef0",TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/a55283248-86c3-36a8-0318-47c65a29aef0?&start=2026-03-01&end=2026-04-30"")"
"412549492","8573144",FALSE,"dcdffe911-16aa-73f8-7587-25af5e914589","FUYUANYU8286","BZW6Z","CHN","fishing","fishing","412549492-dcdffe911-16aa-73f8-7587-25af5e914589-019d809c1570",2026-04-12 07:33:26,"KOR","BUSAN",4,18.67,0,11,16,"dcdffe911-16aa-73f8-7587-25af5e914589",TRUE,TRUE,"=HYPERLINK(""https://globalfishingwatch.org/map/vessel/dcdffe911-16aa-73f8-7587-25af5e914589?&start=2026-03-01&end=2026-04-30"")"
