Time Range,mmsi,Entry Timestamp,Exit Timestamp,Vessel Presence Hours
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412549511,2024-07-18T00:00:00Z,2024-08-17T15:00:00Z,729
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412401580,2024-07-18T00:00:00Z,2024-08-15T23:00:00Z,56
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412440686,2024-07-18T17:00:00Z,2024-08-17T06:00:00Z,89
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412420807,2024-07-18T00:00:00Z,2024-07-20T03:00:00Z,52
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412549404,2024-07-18T00:00:00Z,2024-08-17T19:00:00Z,413
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",431107000,2024-08-11T19:00:00Z,2024-08-14T05:00:00Z,24
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",416000275,2024-07-29T00:00:00Z,2024-08-02T23:00:00Z,89
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412440685,2024-07-18T00:00:00Z,2024-08-17T23:00:00Z,731
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",431002127,2024-07-23T21:00:00Z,2024-08-16T05:00:00Z,256
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",431501731,2024-07-18T01:00:00Z,2024-08-17T23:00:00Z,392
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",431215000,2024-07-18T00:00:00Z,2024-08-15T22:00:00Z,480
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",432873000,2024-08-11T19:00:00Z,2024-08-14T04:00:00Z,25
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412440249,2024-07-18T18:00:00Z,2024-08-17T23:00:00Z,232
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412440244,2024-07-18T02:00:00Z,2024-08-17T23:00:00Z,551
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",431200060,2024-07-18T01:00:00Z,2024-08-17T23:00:00Z,274
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412549367,2024-07-18T00:00:00Z,2024-08-17T23:00:00Z,743
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",416000833,2024-07-25T12:00:00Z,2024-08-17T22:00:00Z,431
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412549498,2024-07-18T00:00:00Z,2024-08-17T23:00:00Z,744
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412330149,2024-08-10T04:00:00Z,2024-08-17T22:00:00Z,87
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",432872000,2024-08-11T18:00:00Z,2024-08-14T04:00:00Z,33
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412420978,2024-07-18T00:00:00Z,2024-08-17T19:00:00Z,676
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",628000012,2024-07-31T00:00:00Z,2024-08-17T23:00:00Z,313
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",416225800,2024-07-18T00:00:00Z,2024-07-27T19:00:00Z,200
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412420597,2024-07-18T00:00:00Z,2024-08-17T20:00:00Z,426
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412549364,2024-07-18T00:00:00Z,2024-08-17T23:00:00Z,725
"2024-07-18T00:00:00.000Z,2024-08-19T00:00:00.000Z",412439598,2024-07-18T00:00:00Z,2024-08-17T20:00:00Z,649
