DFO_VOI,ssvid,imo,vessel_id,shipname,callsign,vessel_flag_best,vessel_class_best,geartype_best,trip_id,trip_start,start_port_iso3,start_port_label,trip_start_confidence,trip_duration_days,num_encounters,num_loitering,num_fishing
TRUE,412331054,9752929,5263f8b26-6e43-e917-d9c1-94247cc19180,LU HUANG YUAN YU 115,BZTE6,CHN,fishing,squid_jigger,412331054-5263f8b26-6e43-e917-d9c1-94247cc19180-018fc1e1b228,2024-05-29 01:05:45.000000 UTC,KOR,BUSAN,4,8.92,0,10,9
FALSE,412331059,8775675,b1084cfa0-0c69-b422-7d66-11329f34ebdc,LU PENG YUAN YU 078,BZSD9,CHN,fishing,squid_jigger,412331059-b1084cfa0-0c69-b422-7d66-11329f34ebdc-018fb2b17770,2024-05-26 02:18:46.000000 UTC,KOR,BUSAN,4,11.88,0,11,8
TRUE,412331087,8685478,6f6ef7057-7593-c762-8e08-696123260172,LU HUANG YUAN YU 117,BZTE8,CHN,fishing,squid_jigger,412331087-6f6ef7057-7593-c762-8e08-696123260172-018fbd7fb798,2024-05-28 04:40:15.000000 UTC,KOR,BUSAN,4,9.79,0,4,4
TRUE,412331088,,9a268842c-cdc1-f3cc-9400-557eb622550f,LU HUANG YUAN YU 118,BZTE9,CHN,fishing,squid_jigger,412331088-9a268842c-cdc1-f3cc-9400-557eb622550f-018fd7120710,2024-06-02 03:50:34.000000 UTC,KOR,BUSAN,4,4.83,0,5,7
FALSE,412331146,8775699,f11a9dc95-5524-2e40-4adf-3c439c615334,YONG FA 9,BZSG2,CHN,fishing,squid_jigger,412331146-f11a9dc95-5524-2e40-4adf-3c439c615334-018fc1f91e40,2024-05-29 01:31:20.000000 UTC,KOR,BUSAN,4,8.92,0,10,6
FALSE,412331147,8775704,b2e362d48-8938-612a-d0ca-e2671f5434c8,SHUNHANG        1--,BZSG3,CHN,fishing,squid_jigger,412331147-b2e362d48-8938-612a-d0ca-e2671f5434c8-018fccfa5160,2024-05-31 04:48:28.000000 UTC,KOR,BUSAN,4,6.79,0,0,0
FALSE,412331148,8775716,e01f31c42-2db2-8259-5729-d87c0ac0fa70,LU PENG YUAN YU 089,BZSG4,CHN,fishing,squid_jigger,412331148-e01f31c42-2db2-8259-5729-d87c0ac0fa70-018fb3c521c0,2024-05-26 07:19:52.000000 UTC,KOR,BUSAN,4,11.67,0,12,7
FALSE,412331167,,c3aef5bcf-ff1b-4305-a14a-1ad2fe47ab78,LURONGYUANYUYUN998,BCFD5,CHN,carrier,carrier,412331167-c3aef5bcf-ff1b-4305-a14a-1ad2fe47ab78-018f9984b028,2024-05-21 04:59:21.000000 UTC,CHN,TAIZHOU,4,16.79,4,27,0
FALSE,412331486,8786466,99df0aba7-72a2-2ac9-c54b-99be9f6b782d,LURONGYUANYUYUN009,BCFI9,CHN,carrier,carrier,412331486-99df0aba7-72a2-2ac9-c54b-99be9f6b782d-018f71767df0,2024-05-13 10:19:02.000000 UTC,CHN,SHIDAO,4,24.54,6,33,37
FALSE,412336831,9882803,a8cea29a9-9708-52ed-a978-9552ac4bc2ba,LURONGYUANYUYUN008,BZYM4,CHN,carrier,carrier,412336831-a8cea29a9-9708-52ed-a978-9552ac4bc2ba-018fc865ae10,2024-05-30 07:27:38.000000 UTC,KOR,BUSAN,4,7.67,0,11,12
FALSE,412337006,,79f61c9a1-110e-90b3-3dd0-cd2247afb5e2,LURONGYU58887,,CHN,fishing,trawlers,412337006-79f61c9a1-110e-90b3-3dd0-cd2247afb5e2-0190237e01f8,2024-06-16 23:59:39.000000 UTC,CHN,SHIDAO,3,-9.96,0,0,0
FALSE,412347599,,d2a8d68fa-a9cf-0e86-5ded-fd4a1e97f702,LULAOYUYUN60887,60887,CHN,fishing,fishing,412347599-d2a8d68fa-a9cf-0e86-5ded-fd4a1e97f702-018fe1980ef0,2024-06-04 04:53:10.000000 UTC,CHN,QINGDAO,4,2.79,8,29,26
FALSE,412349316,,cd06f3c1c-c18f-ff95-104c-3588d88d6de2,LUJIAOYU60025,,CHN,fishing,trawlers,412349316-cd06f3c1c-c18f-ff95-104c-3588d88d6de2-019020510cc8,2024-06-16 09:11:41.000000 UTC,CHN,CHN-2,3,-9.38,0,0,0
FALSE,412349803,,dd2fabd06-6530-0024-d2ef-89293e4ae2dd,LUJIAOYU60129,60129,CHN,fishing,fishing,412349803-dd2fabd06-6530-0024-d2ef-89293e4ae2dd-018fba1f1008,2024-05-27 12:55:49.000000 UTC,CHN,QINGDAO,4,10.46,12,44,47
FALSE,412401580,,df173da56-670d-d2c3-f17a-8bc8053b1947,MING DA,,CHN,fishing,squid_jigger,412401580-df173da56-670d-d2c3-f17a-8bc8053b1947-018fa99177d0,2024-05-24 07:47:14.000000 UTC,CHN,CHN-170,4,13.67,0,6,1
FALSE,412420659,,6c1133000-0e1e-db0b-0001-2e0098739f24,SHUN HANG 6,BZV5M,CHN,fishing,squid_jigger,412420659-6c1133000-0e1e-db0b-0001-2e0098739f24-018fd21dfde0,2024-06-01 04:45:32.000000 UTC,KOR,BUSAN,4,5.79,0,3,3
FALSE,412420807,,902691f7f-f94c-d8da-faf5-ca4e98a81d3c,PUYUAN868,BZ9V0,CHN,fishing,squid_jigger,412420807-902691f7f-f94c-d8da-faf5-ca4e98a81d3c-018faf083dc0,2024-05-25 09:15:04.000000 UTC,CHN,CHN-2289,4,12.58,0,6,5
TRUE,412420829,,b7baecf62-25e9-83ce-e29c-66c986af7ab2,MING FA,BKUI,CHN,carrier,carrier,412420829-b7baecf62-25e9-83ce-e29c-66c986af7ab2-018fbd05a598,2024-05-28 02:26:55.000000 UTC,CHN,CHN-2289,4,9.88,3,4,0
FALSE,412420909,,c506f3266-6977-9afa-3939-72f29bb69aa3,SHUNHANG8,BZV6M,CHN,fishing,squid_jigger,412420909-c506f3266-6977-9afa-3939-72f29bb69aa3-018fb8863be0,2024-05-27 05:29:16.000000 UTC,KOR,BUSAN,4,10.75,0,0,0
TRUE,412420954,,5931fb453-3ee1-27fb-1e13-969a65f91c6e,XINHAI1201,BZV2S,CHN,fishing,fishing,412420954-5931fb453-3ee1-27fb-1e13-969a65f91c6e-018ec25cbb68,2024-04-09 10:17:21.000000 UTC,CHN,CHN-170,4,58.54,0,81,69
TRUE,412420956,,8a729bdb4-4720-774d-0b3d-215d2094cee9,XINHAI1202,BZV3S,CHN,fishing,fishing,412420956-8a729bdb4-4720-774d-0b3d-215d2094cee9-018ed05a4a50,2024-04-12 03:29:22.000000 UTC,KOR,BUSAN,4,55.83,0,35,5
TRUE,412421008,,baa8c4c19-9961-d924-0860-1131b7e3e9d6,XIN HAI 1206,BZV4Z,CHN,fishing,fishing,412421008-baa8c4c19-9961-d924-0860-1131b7e3e9d6-018ed0a1c330,2024-04-12 04:47:26.000000 UTC,KOR,BUSAN,4,55.79,4,93,95
TRUE,412421009,,b40f5a27b-bd55-0f96-3b67-692247bb32b1,XINHAI1205,BZV3Z,CHN,fishing,fishing,412421009-b40f5a27b-bd55-0f96-3b67-692247bb32b1-018ed0501cd8,2024-04-12 03:18:15.000000 UTC,KOR,BUSAN,4,55.83,3,103,117
TRUE,412421011,,2e45ce64f-f565-8a0e-ee1e-0b059565e65c,XIN HAI 1208,BZV6Z,CHN,fishing,fishing,412421011-2e45ce64f-f565-8a0e-ee1e-0b059565e65c-018ec23adf70,2024-04-09 09:40:22.000000 UTC,CHN,CHN-170,4,58.58,4,100,100
TRUE,412421012,,73304b604-4727-e368-9cc6-ecbb16ec4c7a,XINHAI1207,BZV5Z,CHN,fishing,fishing,412421012-73304b604-4727-e368-9cc6-ecbb16ec4c7a-018ec2a6b100,2024-04-09 11:38:08.000000 UTC,CHN,ZHOUSHAN,4,58.5,0,72,43
FALSE,412421022,,c8575b287-7965-6056-57cc-56dbc8a66ce2,DONGYU1528,BZW9B,CHN,fishing,squid_jigger,412421022-c8575b287-7965-6056-57cc-56dbc8a66ce2-018fdc4937a8,2024-06-03 04:08:57.000000 UTC,KOR,BUSAN,4,3.79,0,7,3
TRUE,412421035,,920c1cd06-62cd-c834-4881-582b57f04169,XIN HAI 1225,BZW8E,CHN,fishing,fishing,412421035-920c1cd06-62cd-c834-4881-582b57f04169-018ed1c557b8,2024-04-12 10:05:55.000000 UTC,CHN,CHN-170,3,55.54,0,80,56
TRUE,412421036,8786820,7cb833166-68f5-c72c-a2cd-99075ef1e790,XIN HAI 1227,BZW9E,CHN,fishing,fishing,412421036-7cb833166-68f5-c72c-a2cd-99075ef1e790-018ec250e810,2024-04-09 10:04:26.000000 UTC,CHN,CHN-170,4,58.54,4,100,104
TRUE,412421075,,84c14dc2c-c409-cbca-d694-f55fab531b97,XIN HAI 1273,BZW5L,CHN,fishing,fishing,412421075-84c14dc2c-c409-cbca-d694-f55fab531b97-018ed0f10440,2024-04-12 06:14:00.000000 UTC,KOR,BUSAN,4,55.71,2,92,86
TRUE,412421076,8788062,26ed9cf93-3621-89ad-42a0-0506f802b1d9,XIN HAI 1235,BZW4L,CHN,fishing,fishing,412421076-26ed9cf93-3621-89ad-42a0-0506f802b1d9-018ed1d019a0,2024-04-12 10:17:40.000000 UTC,CHN,CHN-170,4,55.54,2,109,116
FALSE,412421078,9829435,b15f599df-fc44-6897-6473-9c173f8d5f6f,ZHONG JU LENG1,BZW6L,CHN,carrier,carrier,412421078-b15f599df-fc44-6897-6473-9c173f8d5f6f-019023752c40,2024-06-16 23:50:00.000000 UTC,CHN,FUZHOU,3,-9.96,0,0,0
